datastore size read random oio latency
emc-6diskfc-sp 1024 0 0 1 0.714273
DRSStore2 1024 0 0 1 0.862123
DASStore 1024 0 0 1 0.871543
netapp-7disk-sp 1024 0 0 1 0.575766
emc-3disk-raid0 1024 0 0 1 0.719997
netapp-3diskata-sp 1024 0 0 1 0.560616
netapp-7diskata-dp 1024 0 0 1 0.585423
srs7diskfc_netapp 1024 0 0 1 0.549610
emc-6diskfc-sp 1024 0 0 2 1.469344
DRSStore2 1024 0 0 2 1.636292
DASStore 1024 0 0 2 1.700529
netapp-7disk-sp 1024 0 0 2 0.902118
emc-3disk-raid0 1024 0 0 2 1.465751
netapp-3diskata-sp 1024 0 0 2 0.931606
netapp-7diskata-dp 1024 0 0 2 1.130865
srs7diskfc_netapp 1024 0 0 2 0.895403
emc-6diskfc-sp 1024 0 0 4 3.060663
DRSStore2 1024 0 0 4 3.284933
DASStore 1024 0 0 4 3.413619
netapp-7disk-sp 1024 0 0 4 1.793331
emc-3disk-raid0 1024 0 0 4 3.058203
netapp-3diskata-sp 1024 0 0 4 1.861739
netapp-7diskata-dp 1024 0 0 4 2.255480
srs7diskfc_netapp 1024 0 0 4 1.795769
emc-6diskfc-sp 1024 0 0 8 5.808456
DRSStore2 1024 0 0 8 6.536972
DASStore 1024 0 0 8 6.711007
netapp-7disk-sp 1024 0 0 8 3.635630
emc-3disk-raid0 1024 0 0 8 5.804550
netapp-3diskata-sp 1024 0 0 8 3.725566
netapp-7diskata-dp 1024 0 0 8 4.470418
srs7diskfc_netapp 1024 0 0 8 3.623309
emc-6diskfc-sp 1024 0 0 16 10.555488
DRSStore2 1024 0 0 16 13.094864
DASStore 1024 0 0 16 13.541337
netapp-7disk-sp 1024 0 0 16 7.158399
emc-3disk-raid0 1024 0 0 16 10.541589
netapp-3diskata-sp 1024 0 0 16 7.414676
netapp-7diskata-dp 1024 0 0 16 8.772556
srs7diskfc_netapp 1024 0 0 16 7.136675
emc-6diskfc-sp 1024 0 0 32 21.600589
DRSStore2 1024 0 0 32 26.180950
DASStore 1024 0 0 32 27.388659
netapp-7disk-sp 1024 0 0 32 14.384120
emc-3disk-raid0 1024 0 0 32 21.576755
netapp-3diskata-sp 1024 0 0 32 14.835872
netapp-7diskata-dp 1024 0 0 32 17.837192
srs7diskfc_netapp 1024 0 0 32 14.359362
emc-6diskfc-sp 1024 0 0 64 41.407438
DRSStore2 1024 0 0 64 52.265432
DASStore 1024 0 0 64 54.881850
netapp-7disk-sp 1024 0 0 64 37.644521
emc-3disk-raid0 1024 0 0 64 41.333393
netapp-3diskata-sp 1024 0 0 64 30.192002
netapp-7diskata-dp 1024 0 0 64 37.297891
srs7diskfc_netapp 1024 0 0 64 37.813007
emc-6diskfc-sp 1024 0 0 128 87.196194
DRSStore2 1024 0 0 128 104.468845
DASStore 1024 0 0 128 108.470814
netapp-7disk-sp 1024 0 0 128 61.078091
emc-3disk-raid0 1024 0 0 128 87.190212
netapp-3diskata-sp 1024 0 0 128 59.601022
netapp-7diskata-dp 1024 0 0 128 68.040972
srs7diskfc_netapp 1024 0 0 128 64.526800
emc-6diskfc-sp 2048 0 0 1 0.737793
DRSStore2 2048 0 0 1 0.853506
DASStore 2048 0 0 1 0.876798
netapp-7disk-sp 2048 0 0 1 0.613173
emc-3disk-raid0 2048 0 0 1 0.738957
netapp-3diskata-sp 2048 0 0 1 0.586568
