host datastore workers random read size oio latency workload
win1 netapp-7disk-sp 3 100 100 1048576 1 84.806545 decision_support_db
win1 netapp-7disk-sp 3 100 100 1048576 1 85.363515 decision_support_db
win1 netapp-7disk-sp 3 80 80 8192 1 10.732569 workstations
win2 emc-5disk-sp 3 100 70 8192 1 8.166445 oltp_db
win2 emc-5disk-sp 3 100 100 1048576 1 32.597854 decision_support_db
win2 emc-5disk-sp 3 0 0 8192 1 0.732984 web_serber_log
win1 netapp-7disk-sp 4 0 0 8192 1 1.890164 web_serber_log
win1 netapp-7disk-sp 4 100 70 8192 1 11.882852 oltp_db
win1 netapp-7disk-sp 4 100 70 8192 1 11.774286 oltp_db
win1 netapp-7disk-sp 4 80 80 8192 1 10.655696 workstations
win2 emc-5disk-sp 3 75 95 65536 1 17.355675 web_file_server3
win2 emc-5disk-sp 3 100 100 1048576 1 39.324333 decision_support_db
win2 emc-5disk-sp 3 80 80 8192 1 11.686853 workstations
win1 netapp-7disk-sp 3 100 67 4096 1 11.183094 exchange_server
win1 netapp-7disk-sp 3 0 90 65536 1 2.807728 os_paging
win1 netapp-7disk-sp 3 100 67 4096 1 11.321629 exchange_server
win2 emc-5disk-sp 1 0 98 65536 1 0.877226 media_streaming
win1 netapp-7disk-sp 2 0 0 8192 1 1.077570 web_serber_log
win1 netapp-7disk-sp 2 100 70 8192 1 7.467379 oltp_db
win2 emc-5disk-sp 3 0 0 65536 1 1.183199 sql_server_log
win2 emc-5disk-sp 3 0 0 65536 1 1.187777 sql_server_log
win2 emc-5disk-sp 3 0 0 8192 1 0.940719 web_serber_log
win1 netapp-7disk-sp 4 75 95 65536 1 14.378431 web_file_server3
win1 netapp-7disk-sp 4 100 100 1048576 1 83.461608 decision_support_db
win1 netapp-7disk-sp 4 0 0 8192 1 0.807758 web_serber_log
win1 netapp-7disk-sp 4 0 0 8192 1 0.807384 web_serber_log
win2 emc-5disk-sp 4 0 98 65536 1 1.746729 media_streaming
win2 emc-5disk-sp 4 80 80 8192 1 11.555133 workstations
win2 emc-5disk-sp 4 75 95 65536 1 18.032807 web_file_server3
win2 emc-5disk-sp 4 100 67 4096 1 11.207337 exchange_server
win1 netapp-7disk-sp 3 75 95 65536 1 13.934644 web_file_server3
win1 netapp-7disk-sp 3 0 98 65536 1 2.377064 media_streaming
win1 netapp-7disk-sp 3 75 95 8192 1 10.677234 web_file_server2
win2 emc-5disk-sp 4 100 100 1048576 1 54.309670 decision_support_db
win2 emc-5disk-sp 4 0 98 65536 1 2.042118 media_streaming
win2 emc-5disk-sp 4 100 67 4096 1 13.056159 exchange_server
win2 emc-5disk-sp 4 75 95 65536 1 27.395815 web_file_server3
win1 netapp-7disk-sp 4 0 0 65536 1 3.026039 sql_server_log
win1 netapp-7disk-sp 4 0 98 65536 1 3.026997 media_streaming
win1 netapp-7disk-sp 4 75 95 4096 1 14.177235 web_file_server1
win1 netapp-7disk-sp 4 75 95 8192 1 14.702082 web_file_server2
win2 emc-5disk-sp 2 0 0 65536 1 1.065647 sql_server_log
win2 emc-5disk-sp 2 100 70 8192 1 6.273171 oltp_db
win1 netapp-7disk-sp 3 0 0 8192 1 1.039079 web_serber_log
win1 netapp-7disk-sp 3 0 0 65536 1 2.196673 sql_server_log
win1 netapp-7disk-sp 3 100 70 8192 1 16.625928 oltp_db
win2 emc-5disk-sp 4 80 80 8192 1 14.982074 workstations
win2 emc-5disk-sp 4 0 98 65536 1 2.205782 media_streaming
win2 emc-5disk-sp 4 100 100 1048576 1 53.681376 decision_support_db
win2 emc-5disk-sp 4 80 80 8192 1 15.161360 workstations
win1 netapp-7disk-sp 3 75 95 4096 1 11.685829 web_file_server1
win1 netapp-7disk-sp 3 100 100 1048576 1 79.311157 decision_support_db
win1 netapp-7disk-sp 3 0 0 8192 1 0.875915 web_serber_log
win2 emc-5disk-sp 3 80 80 8192 1 6.468228 workstations
win2 emc-5disk-sp 3 75 95 65536 1 9.871796 web_file_server3
win2 emc-5disk-sp 3 80 80 8192 1 6.502097 workstations
win1 netapp-7disk-sp 4 0 0 8192 1 0.992199 web_serber_log
win1 netapp-7disk-sp 4 0 0 65536 1 2.360985 sql_server_log
win1 netapp-7disk-sp 4 100 67 4096 1 18.329124 exchange_server
win1 netapp-7disk-sp 4 0 0 8192 1 0.991989 web_serber_log
win2 emc-5disk-sp 4 100 67 4096 1 10.603659 exchange_server
win2 emc-5disk-sp 4 75 95 8192 1 13.286512 web_file_server2
win2 emc-5disk-sp 4 0 98 65536 1 1.868398 media_streaming
win2 emc-5disk-sp 4 75 95 65536 1 19.617577 web_file_server3
win1 netapp-7disk-sp 3 80 80 8192 1 11.547735 workstations
win1 netapp-7disk-sp 3 0 98 65536 1 1.677580 media_streaming
win1 netapp-7disk-sp 3 0 98 65536 1 1.678488 media_streaming
win2 emc-5disk-sp 3 75 95 65536 1 19.568539 web_file_server3
win2 emc-5disk-sp 3 75 95 65536 1 20.119520 web_file_server3
win2 emc-5disk-sp 3 0 90 65536 1 1.917394 os_paging
win1 netapp-7disk-sp 3 0 90 65536 1 1.669507 os_paging
win1 netapp-7disk-sp 3 0 98 65536 1 1.669812 media_streaming
win1 netapp-7disk-sp 3 75 95 4096 1 11.761583 web_file_server1
win2 emc-5disk-sp 4 100 70 8192 1 14.999718 oltp_db
win2 emc-5disk-sp 4 100 100 1048576 1 53.800661 decision_support_db
win2 emc-5disk-sp 4 100 67 4096 1 13.866623 exchange_server
win2 emc-5disk-sp 4 0 90 65536 1 2.377631 os_paging
win1 netapp-7disk-sp 3 100 67 4096 1 11.047791 exchange_server
win1 netapp-7disk-sp 3 0 90 65536 1 1.774026 os_paging
win1 netapp-7disk-sp 3 75 95 4096 1 11.954727 web_file_server1
win2 emc-5disk-sp 3 0 98 65536 1 1.685846 media_streaming
win2 emc-5disk-sp 3 75 95 8192 1 10.917780 web_file_server2
win2 emc-5disk-sp 3 75 95 65536 1 15.984236 web_file_server3
win1 netapp-7disk-sp 2 75 95 65536 1 13.727384 web_file_server3
win1 netapp-7disk-sp 2 0 90 65536 1 1.769125 os_paging
win2 emc-5disk-sp 3 100 100 1048576 1 59.556845 decision_support_db
win2 emc-5disk-sp 3 100 70 8192 1 14.228245 oltp_db
win2 emc-5disk-sp 3 0 0 65536 1 1.152907 sql_server_log
win1 netapp-7disk-sp 3 0 0 65536 1 2.276360 sql_server_log
win1 netapp-7disk-sp 3 100 70 8192 1 16.762091 oltp_db
win1 netapp-7disk-sp 3 100 70 8192 1 16.729500 oltp_db
win2 emc-5disk-sp 3 100 100 1048576 1 50.521560 decision_support_db
win2 emc-5disk-sp 3 100 100 1048576 1 59.729172 decision_support_db
win2 emc-5disk-sp 3 75 95 8192 1 15.066276 web_file_server2
win1 netapp-7disk-sp 4 100 67 4096 1 9.104146 exchange_server
win1 netapp-7disk-sp 4 75 95 4096 1 10.875477 web_file_server1
win1 netapp-7disk-sp 4 75 95 4096 1 10.684535 web_file_server1
win1 netapp-7disk-sp 4 100 100 1048576 1 93.235056 decision_support_db
win2 emc-5disk-sp 4 100 100 1048576 1 59.996118 decision_support_db
